(4,15,23.5)
(4,19,3.9)
(4,30,6.0)
(4,73,20.5)
(4,102,3.4)
(4,105,4.3)
(4,119,4.6)
(4,130,3.8)
(4,134,3.1)
(4,195,2.7)
(4,212,10.2)
(4,213,6.3)
(4,232,3.8)
(4,268,5.3)
(4,285,2.5)
(4,294,5.1)
(4,306,4.7)
(4,311,7.0)
(4,358,3.5)
(4,388,6.1)
(4,452,10.1)
(4,461,9.2)
(4,463,3.8)
(4,466,1.2)
(4,468,12.5)
(4,472,6.1)
(4,509,8.8)
(4,514,3.2)
(4,518,5.3)
(4,547,11.7)
(4,564,28.1)
(4,575,2.1)
(4,580,10.5)
(4,607,4.5)
(4,624,10.8)
(4,654,7.8)
(5,15,63.8)
(5,73,51.7)
(5,212,37.0)
(5,468,43.1)
(5,580,38.7)
(5,654,33.3)
(7,564,268.0)
(8,15,33.5)
(8,23,11.9)
(8,73,27.7)
(8,212,16.5)
(8,380,15.0)
(8,388,12.1)
(8,452,18.2)
(8,461,19.5)
(8,468,19.6)
(8,509,16.3)
(8,547,18.9)
(8,580,17.2)
(8,607,9.8)
(8,624,16.9)
(8,654,14.1)
(15,17,20.1)
(15,19,18.5)
(15,21,25.2)
(15,22,21.2)
(15,23,16.5)
(15,26,36.0)
(15,30,18.6)
(15,33,268.0)
(15,34,25.8)
(15,41,38.9)
(15,48,21.9)
(15,56,18.8)
(15,57,24.2)
(15,61,43.5)
(15,63,268.0)
(15,68,43.5)
(15,72,29.0)
(15,73,36.4)
(15,75,29.0)
(15,77,18.8)
(15,78,20.6)
(15,83,28.3)
(15,84,70.7)
(15,86,58.2)
(15,88,19.1)
(15,91,78.1)
(15,92,62.4)
(15,93,23.2)
(15,94,22.8)
(15,95,23.9)
(15,97,32.0)
(15,99,28.6)
(15,102,21.1)
(15,105,17.9)
(15,111,19.7)
(15,118,28.3)
(15,119,17.8)
(15,120,24.4)
(15,125,20.4)
(15,128,22.5)
(15,130,18.2)
(15,133,61.0)
(15,134,18.8)
(15,148,41.7)
(15,149,34.6)
(15,150,19.2)
(15,152,21.0)
(15,157,20.7)
(15,159,28.7)
(15,165,18.9)
(15,175,73.2)
(15,176,32.2)
(15,177,26.1)
(15,178,54.4)
(15,185,22.8)
(15,187,21.0)
(15,189,55.6)
(15,195,19.5)
(15,199,21.1)
(15,200,26.1)
(15,201,41.6)
(15,205,48.9)
(15,212,15.4)
(15,213,16.6)
(15,214,21.7)
(15,219,26.4)
(15,220,21.5)
(15,230,101.2)
(15,232,20.7)
(15,234,71.5)
(15,235,26.4)
(15,236,42.8)
(15,239,24.1)
(15,240,21.6)
(15,242,20.1)
(15,243,19.3)
(15,245,34.7)
(15,247,21.2)
(15,250,53.8)
(15,251,101.7)
(15,253,21.3)
(15,254,128.3)
(15,255,268.0)
(15,262,18.9)
(15,265,44.5)
(15,268,17.3)
(15,270,45.7)
(15,273,141.6)
(15,275,31.3)
(15,282,25.2)
(15,283,31.9)
(15,285,19.6)
(15,287,45.3)
(15,292,19.8)
(15,294,19.2)
(15,295,20.7)
(15,297,80.1)
(15,299,35.5)
(15,303,20.0)
(15,304,268.0)
(15,306,23.1)
(15,309,36.4)
(15,311,26.8)
(15,312,20.6)
(15,313,20.4)
(15,316,50.3)
(15,324,43.4)
(15,328,26.7)
(15,339,141.6)
(15,342,25.7)
(15,344,24.3)
(15,345,20.8)
(15,346,21.7)
(15,350,28.4)
(15,353,18.3)
(15,355,18.9)
(15,358,19.0)
(15,362,60.9)
(15,363,25.5)
(15,367,26.3)
(15,371,52.0)
(15,373,25.6)
(15,378,61.9)
(15,380,14.1)
(15,382,23.2)
(15,384,19.6)
(15,386,152.0)
(15,387,36.3)
(15,388,16.5)
(15,390,40.1)
(15,394,23.3)
(15,402,31.5)
(15,405,22.2)
(15,407,23.5)
(15,408,22.5)
(15,412,25.3)
(15,417,34.2)
(15,418,34.0)
(15,423,20.3)
(15,426,28.9)
(15,427,42.5)
(15,428,22.9)
(15,430,18.8)
(15,431,20.2)
(15,433,22.4)
(15,434,29.7)
(15,439,22.4)
(15,441,97.5)
(15,442,20.3)
(15,450,62.6)
(15,452,36.1)
(15,457,17.7)
(15,460,21.4)
(15,461,27.9)
(15,463,18.5)
(15,466,21.9)
(15,468,14.1)
(15,471,24.3)
(15,472,16.4)
(15,475,22.4)
(15,479,141.6)
(15,480,19.8)
(15,481,20.6)
(15,483,58.4)
(15,486,55.3)
(15,487,81.4)
(15,500,21.5)
(15,501,40.8)
(15,502,76.9)
(15,505,20.3)
(15,509,16.0)
(15,510,46.7)
(15,514,22.7)
(15,516,92.5)
(15,518,33.3)
(15,519,46.2)
(15,520,23.9)
(15,522,24.6)
(15,523,25.0)
(15,525,40.2)
(15,527,24.2)
(15,528,53.4)
(15,529,20.5)
(15,531,41.5)
(15,533,42.2)
(15,534,21.6)
(15,537,23.2)
(15,544,23.4)
(15,547,15.9)
(15,548,39.6)
(15,550,36.6)
(15,553,37.2)
(15,558,52.7)
(15,559,28.6)
(15,561,19.1)
(15,562,19.1)
(15,563,62.0)
(15,564,241.4)
(15,570,58.5)
(15,574,19.8)
(15,575,20.4)
(15,577,20.0)
(15,580,13.8)
(15,584,30.4)
(15,585,22.4)
(15,587,21.4)
(15,592,39.8)
(15,595,31.0)
(15,596,17.7)
(15,597,29.8)
(15,598,20.7)
(15,599,93.1)
(15,602,100.7)
(15,605,21.3)
(15,607,17.7)
(15,608,23.2)
(15,615,20.9)
(15,620,51.3)
(15,623,71.0)
(15,624,20.2)
(15,626,65.1)
(15,627,21.6)
(15,641,78.4)
(15,646,35.5)
(15,647,48.1)
(15,648,30.4)
(15,652,152.0)
(15,654,22.9)
(15,655,141.6)
(15,659,88.1)
(15,664,18.6)
(15,665,19.7)
(15,671,32.9)
(17,19,3.9)
(17,23,3.9)
(17,30,4.3)
(17,56,2.2)
(17,73,17.3)
(17,77,1.9)
(17,78,1.5)
(17,88,1.7)
(17,102,2.8)
(17,105,2.7)
(17,119,3.5)
(17,130,2.5)
(17,134,2.0)
(17,150,2.2)
(17,152,1.8)
(17,157,2.0)
(17,165,1.9)
(17,199,2.1)
(17,212,7.5)
(17,213,4.4)
(17,220,1.8)
(17,232,3.1)
(17,236,5.1)
(17,240,1.7)
(17,243,1.6)
(17,262,1.7)
(17,268,3.3)
(17,294,3.7)
(17,295,1.6)
(17,299,4.9)
(17,303,1.6)
(17,306,4.0)
(17,311,5.8)
(17,313,1.8)
(17,345,1.6)
(17,353,2.5)
(17,355,2.0)
(17,358,3.0)
(17,380,6.8)
(17,384,2.3)
(17,388,4.0)
(17,423,1.6)
(17,430,1.9)
(17,431,1.5)
(17,452,8.0)
(17,457,2.8)
(17,461,7.5)
(17,463,2.6)
(17,468,9.5)
(17,472,4.0)
(17,480,2.2)
(17,481,1.9)
(17,505,2.0)
(17,509,6.5)
(17,529,2.4)
(17,544,2.1)
(17,547,8.7)
(17,561,1.9)
(17,562,2.0)
(17,564,27.2)
(17,574,2.0)
(17,580,7.7)
(17,587,2.1)
(17,596,2.9)
(17,607,3.0)
(17,608,2.5)
(17,615,2.7)
(17,624,7.9)
(17,627,1.6)
(17,654,5.9)
(17,664,3.5)
(19,21,4.4)
